r,model,subject,channel
-0.007849500109690261,model4,S0004,RInIns4
0.055880107575373726,model1,S0004,RInIns5
0.007780547561613477,model4,S0004,RInIns5
0.1805757775580469,model1,S0004,RInIns7
0.10072510861797236,model4,S0004,RInIns7
0.26191545737309097,model1,S0004,RInIns8
0.1740180014168286,model4,S0004,RInIns8
0.1083966335343918,model1,S0004,RSpIns1
-0.023157275115310967,model4,S0004,RSpIns1
0.210112995414214,model1,S0004,RSpIns2
0.018549602624702368,model4,S0004,RSpIns2
0.12466306346513405,model1,S0004,RSpIns3
-0.01503565741915546,model4,S0004,RSpIns3
0.16394835266303034,model1,S0004,RSpIns4
-0.0005959565680096643,model4,S0004,RSpIns4
0.13831078338279884,model1,S0004,RSpIns5
0.007115224207432718,model4,S0004,RSpIns5
0.13907180622577373,model1,S0004,RSpIns6
0.013588783338659802,model4,S0004,RSpIns6
0.1872348833424154,model1,S0004,RSpIns7
0.0500377088280172,model4,S0004,RSpIns7
0.13589295154084816,model1,S0004,RSpIns8
0.0792174891049069,model4,S0004,RSpIns8
-0.022043982212423315,model1,S0006,RAST1
-0.029675550565611605,model4,S0006,RAST1
0.018540006577371027,model1,S0006,RAST2
0.01645333005878781,model4,S0006,RAST2
0.039172425678604864,model1,S0006,RAST3
0.03636638609525792,model4,S0006,RAST3
0.05831328552272212,model1,S0006,RAST5
0.0571505493090895,model4,S0006,RAST5
0.09226141312896084,model1,S0006,RAST6
0.08182571373167495,model4,S0006,RAST6
0.1338173791685673,model1,S0006,RAST7
0.09091679752914576,model4,S0006,RAST7
0.17305852672756936,model1,S0006,RAST8
0.09136029279135437,model4,S0006,RAST8
0.1789439237872774,model1,S0006,RAST9
0.10036391967397733,model4,S0006,RAST9
0.1547931192881739,model1,S0006,RAST10
0.06896192006584823,model4,S0006,RAST10
0.2145303004378856,model1,S0006,RAST11
0.11612341178111292,model4,S0006,RAST11
0.3375095709000729,model1,S0006,RAST12
0.19925145229448527,model4,S0006,RAST12
0.07706449153028168,model1,S0006,RMST1
0.05664009018981081,model4,S0006,RMST1
0.0810373868471257,model1,S0006,RMST2
0.06612545560415177,model4,S0006,RMST2
0.0532523243518732,model1,S0006,RMST3
0.04352646320212501,model4,S0006,RMST3
0.0931346172662729,model1,S0006,RMST4
0.06953196106583917,model4,S0006,RMST4
0.060890626054156724,model1,S0006,RMST5
0.0544047660900998,model4,S0006,RMST5
0.01209987527646075,model1,S0006,RMST6
0.01726327349366391,model4,S0006,RMST6
0.02222364769671157,model1,S0006,RMST7
0.02412968166364092,model4,S0006,RMST7
