subj,elec,roi,peak_amp,peak_lat,cond
S0018,PST-PI'1,insular,0.6270509543382821,0.49,spkr
S0018,PST-PI'2,a1,0.6736134168818256,0.26,spkr
S0018,PST-PI'3,a1,0.5889804808675569,0.25,spkr
S0018,PST-PI'4,a1,0.6005614978073046,0.5,spkr
S0018,PST-PI'5,a2,0.7153067580830464,0.5,spkr
S0018,PST-PI'6,a2,0.39222611302876487,0.5,spkr
S0018,ASP-PI'3,insular,0.2299023220622714,0.45,spkr
S0018,POJ-PST'1,a1,1.1099655816846705,0.16,spkr
S0018,POJ-PST'2,a1,1.5220013889880415,0.35,spkr
S0018,POJ-PST'3,a1,0.6056379154720839,0.45,spkr
S0018,POJ-PST'4,a1,0.82796978288667,0.43,spkr
S0018,POJ-PST'6,insular,0.2692573413579784,0.42,spkr
S0018,PST-PI7,a2,-0.0970953397175416,0.49,spkr
S0019,LG10,a2,0.021703523350263595,0.25,spkr
S0019,LG11,a2,0.17073806079607162,0.33,spkr
S0019,LG1,a2,0.038128325173621455,0.01,spkr
S0019,LG21,a2,1.6755132415188998,0.38,spkr
S0019,LG22,a2,1.3547781751165906,0.34,spkr
S0019,LG23,a2,1.6624579305696503,0.34,spkr
S0019,LG24,a2,1.0989841329889796,0.29,spkr
S0019,LG26,a2,1.1873112866601405,0.5,spkr
S0019,LG2,a2,0.18011800057831265,0.35,spkr
S0019,LG5,a2,0.3635777191329186,0.36,spkr
S0019,LG7,a2,0.17874155415310747,0.19,spkr
S0019,LG9,a2,0.050733224093352285,0.3,spkr
S0019,LPH4,a2,0.11492211336674041,0.22,spkr
S0019,LPH5,a2,0.07536813943947433,0.31,spkr
S0020,PIF-AI1,insular,0.02357190386416814,0.35,spkr
S0020,AIP-PI1,insular,0.5872483440094612,0.15,spkr
S0020,AIP-PI2,insular,1.5037801156865147,0.15,spkr
S0020,AIP-PI3,insular,1.7237256742008622,0.12,spkr
S0020,AIP-PI4,insular,1.1349292152792847,0.15,spkr
S0021,AP-PI2,insular,0.09545872901615343,0.48,spkr
S0023,AIF-AC9,insular,0.26826103207228397,0.26,spkr
S0023,MMF-AI2,insular,0.1853767562036713,0.35,spkr
S0023,AMT-AMG8,a2,0.03817922963450352,0.46,spkr
S0023,AMT-AMG9,a2,0.14684364510079226,0.46,spkr
S0023,AMT-AMG10,a2,0.42751153418794274,0.24,spkr
S0023,AMT-AMG12,a2,0.3893592171370983,0.16,spkr
S0023,AMT-AMG13,a2,0.0613631639474382,0.21,spkr
S0023,AMT-AMG14,a2,-0.02738562860758975,0.5,spkr
S0023,PST-HG9,a2,0.6978675609764954,0.2,spkr
S0023,PST-HG10,a2,0.5256542433053255,0.18,spkr
S0023,PST-HG11,a2,0.3003344563767314,0.37,spkr
S0023,PST-HG12,a2,0.8668212943399946,0.27,spkr
S0023,PST-HG13,a2,0.45947766276852536,0.19,spkr
S0024,'MST-AMG3,insular,0.1666223316497053,0.04,spkr
S0024,'MST-AMG5,insular,0.3429845961800311,0.46,spkr
S0024,'MST-AMG9,insular,0.6111750511433153,0.48,spkr
S0026,'AIF-AI1,insular,0.00949420885329968,0.5,spkr
S0026,'PSP-LG1,insular,0.06463081004269618,0.0,spkr
S0026,'AST-AT3,a2,-0.0700747222167832,0.44,spkr
S0026,'AST-AT4,a2,0.011581033786856815,0.44,spkr
S0026,'AST-AT5,a2,-0.017734367167577147,0.42,spkr
S0026,'AST-AT6,a2,-0.00852177398720462,0.4,spkr
S0026,'AST-AT7,a2,0.09417860739937935,0.5,spkr
S0026,'AST-AT8,a2,0.11999207065979901,0.44,spkr
S0026,'AST-AT9,a2,0.07291891705934081,0.46,spkr
S0026,'AST-AT10,a2,0.06733707948373385,0.45,spkr
S0026,'AIT-AMG8,a2,-0.06585453996912723,0.0,spkr
S0026,'AIT-AMG9,a2,-0.040119504482534374,0.0,spkr
S0026,'AIT-AMG10,a2,0.031804874208510706,0.22,spkr
S0026,'AIT-AMG11,a2,0.08368732816368145,0.46,spkr
S0026,'AIT-AMG12,a2,0.11959935906098078,0.5,spkr
S0026,'MMT-AH7,a2,0.08785706556304113,0.41,spkr
S0026,'MMT-AH8,a2,0.2976877803326045,0.33,spkr
S0026,'MMT-AH11,a2,0.18349228477362836,0.38,spkr
S0026,'MMT-AH12,a2,0.12493830636192702,0.22,spkr
S0026,'MMT-AH13,a2,0.19479863486546828,0.41,spkr
S0026,'MMT-AH14,a2,0.22090910388597926,0.32,spkr
S0026,'PST-PH10,a2,0.1437524071784298,0.46,spkr
S0026,'PST-PH11,a2,0.20481818206118127,0.5,spkr
S0026,'PST-PH12,a2,0.6885517455735489,0.5,spkr
S0026,'PST-PH13,a2,1.1466074400140267,0.35,spkr
S0026,'PST-PH14,a2,0.9152808378107453,0.5,spkr
TCH06,RPILG4,insular,0.2737310367064889,0.21,spkr
TCH06,RPILG5,insular,0.30161359906196594,0.1,spkr
TCH06,RPILG6,insular,0.44957359067418357,0.1,spkr
TCH06,RANT4,a2,0.041306342760270294,0.1,spkr
TCH06,RAISG2,insular,0.12589925388720902,0.27,spkr
TCH06,RAISG3,insular,0.17808618732577253,0.24,spkr
