subject,channel
S0014,MTG-AH6
S0014,MTG-AH10
S0014,MTG-AH11
S0014,MTG-AH12
S0014,MTG-AH13
S0014,MTG-AH14
S0014,MTG-AH15
S0014,STG-HG8
S0014,MTG-PH1
S0014,MTG-PH2
S0014,MTG-PH3
S0014,MTG-PH4
S0014,MTG-PH7
S0014,MTG-PH8
S0014,MTG-PH9
S0014,MTG-PH10
S0014,MTG-PH11
S0014,AG-PI9
S0014,AG-PI10
S0014,AG-PI11
S0014,AG-PI12
S0014,IMF-AI8
S0014,IMF-AI9
S0014,IMF-AI10
S0014,SMFMOF3
S0014,SMFMOF4
S0014,SMFMOF5
S0014,SMFMOF6
S0014,SMFMOF7
S0014,SMFMOF8
S0014,SMFMOF9
S0014,SMFMOF10
S0014,SMFMOF11
S0014,SMFMOF13
S0014,SMFMOF14
S0014,SMFMOF15
S0014,SMFMOF16
S0014,MAFLOF7
S0014,MAFLOF8
S0014,MAFLOF9
S0014,MAFLOF10
S0014,MAFLOF11
S0014,MAFLOF12
S0014,MAFLOF13
S0014,MAFLOF14
S0014,MAFLOF15
S0014,MAFLOF16
S0014,MPF-AC1
S0014,MPF-AC2
S0014,MPF-AC3
S0014,MPF-AC4
S0014,MPF-AC5
S0014,MPF-AC6
S0014,MPF-AC7
S0014,MPF-AC8
S0014,MPF-AC9
S0014,MPF-AC10
S0014,MPF-AC11
S0014,MPF-AC12
S0014,MPF-AC13
S0014,MPF-AC14
S0015,AMT-AMG6
S0015,AMT-AMG7
S0015,AMT-AMG8
S0015,AMT-AMG13
S0015,AMT-AMG14
S0015,MST-AHG1
S0015,MST-AHG2
S0015,MST-AHG3
S0015,MST-AHG4
S0015,MST-AHG5
S0015,MST-AHG6
S0015,MST-AHG7
S0015,MST-AHG8
S0015,MST-AHG9
S0015,MST-AHG10
S0015,MST-AHG11
S0015,PST-PHG1
S0015,PST-PHG2
S0015,PST-PHG3
S0015,PST-PHG4
S0015,PST-PHG5
S0015,PST-PHG8
S0015,MMF-LOF1
S0015,MMF-LOF2
S0015,MMF-LOF3
S0015,MMF-LOF4
S0015,MMF-LOF5
S0015,MMF-LOF7
S0015,MMF-LOF9
S0015,MMF-LOF10
S0015,MMF-LOF11
S0015,MMF-LOF12
S0015,MMF-LOF13
S0015,MSF-MOF1
S0015,MSF-MOF2
S0015,MSF-MOF3
S0015,MSF-MOF4
S0015,MSF-MOF5
S0015,MSF-MOF6
S0015,MSF-MOF7
S0015,MSF-MOF8
S0015,MSF-MOF9
S0015,MSF-MOF10
S0015,MSF-MOF11
S0015,MSF-MOF12
S0015,MSF-MOF13
S0015,MSF-MOF14
S0015,MMF-AC1
S0015,MMF-AC6
S0015,MMF-AC7
S0015,MMF-AC13
S0015,MMF-AC14
S0015,PMF-MC1
S0015,MIF-AI1
S0015,MIF-AI4
S0015,MIF-AI5
S0015,MIF-AI6
S0015,MIF-AI8
S0015,SP-PI6
S0015,SP-PI9
S0015,SP-PI12
S0017,ASF-MOF1
S0017,ASF-MOF2
S0017,ASF-MOF3
S0017,ASF-MOF4
S0017,ASF-MOF5
S0017,ASF-MOF6
S0017,ASF-MOF7
