subject,channel
S0017,SPP-PC7
S0017,SPP-PC8
S0017,SPP-PC9
S0017,SPP-PC10
S0017,SPP-PC11
S0017,SPP-PC12
S0017,SPP-PC13
S0017,SPP-PC14
S0017,AIP-PI1
S0017,AIP-PI8
S0017,AIP-PI9
S0018,AMF-OF'1
S0018,AMF-OF'15
S0018,AMF-OF'16
S0018,AMF-AC'11
S0018,AMF-AC'12
S0018,AMF-AC'13
S0018,AMF-AC'14
S0018,AMF-AC'15
S0018,AMT-Amg'8
S0018,AMT-Amg'13
S0018,MMT-AH'8
S0018,MMT-AH'11
S0018,MMT-AH'12
S0018,PMT-PH'8
S0018,PMT-PH'11
S0018,MST-MI'7
S0018,MST-MI'8
S0018,MST-MI'9
S0018,PST-PI'1
S0018,PST-PI'2
S0018,PST-PI'3
S0018,PST-PI'4
S0018,PST-PI'5
S0018,PST-PI'6
S0018,ASP-PI'2
S0018,ASP-PI'3
S0018,ASP-PI'4
S0018,ASP-PI'6
S0018,ASP-PI'7
S0018,ASP-PI'8
S0018,POJ-PST'1
S0018,POJ-PST'2
S0018,POJ-PST'3
S0018,POJ-PST'4
S0018,POJ-PST'6
S0018,POJ-PST'11
S0018,PIF-AI2
S0018,PIF-AI3
S0018,PST-PI1
S0018,PST-PI2
S0018,PST-PI3
S0018,PST-PI4
S0018,PST-PI5
S0018,PST-PI6
S0018,PST-PI7
S0018,PST-PI8
S0019,LAH4
S0019,LAH5
S0019,LAH6
S0019,LAH7
S0019,LAH8
S0019,LAT2
S0019,LAT3
S0019,LAT4
S0019,LAT5
S0019,LES1
S0019,LES2
S0019,LES3
S0019,LES4
S0019,LES5
S0019,LES6
S0019,LES7
S0019,LES8
S0019,LG10
S0019,LG11
S0019,LG1
S0019,LG21
S0019,LG22
S0019,LG23
S0019,LG24
S0019,LG25
S0019,LG26
S0019,LG27
S0019,LG28
S0019,LG29
S0019,LG2
S0019,LG30
S0019,LG31
S0019,LG33
S0019,LG34
S0019,LG35
S0019,LG36
S0019,LG37
S0019,LG39
S0019,LG41
S0019,LG43
S0019,LG44
S0019,LG45
S0019,LG48
S0019,LG49
S0019,LG50
S0019,LG51
S0019,LG52
S0019,LG53
S0019,LG54
S0019,LG55
S0019,LG57
S0019,LG58
S0019,LG5
S0019,LG61
S0019,LG7
S0019,LG9
S0019,LPF1
S0019,LPF2
S0019,LPF3
S0019,LPF5
S0019,LPF6
S0019,LPF7
S0019,LPF8
S0019,LPH1
S0019,LPH2
S0019,LPH3
S0019,LPH4
S0019,LPH5
S0020,SMF-AC5
S0020,SMF-AC6
S0020,SMF-AC7
S0020,SMF-AC8
S0020,AIF-OF1
S0020,AIF-OF2
S0020,AIF-OF3
S0020,PIF-AI1
S0020,PIF-AI4
S0020,PIF-AI5
S0020,PIF-MI4
S0020,PIF-MI5
S0020,PIF-MI6
S0020,PIF-MI7
S0020,PIF-MI8
S0020,PIF-MI9
S0020,PIF-MI10
S0020,AIP-PI1
S0020,AIP-PI2
S0020,AIP-PI3
S0020,AIP-PI4
S0020,AIP-PI5
S0020,AIP-PI6
S0020,PT-MT5
S0020,PT-MT6
S0020,PT-MT7
S0020,PT-MT8
S0020,PT-MT10
S0020,PT-MT11
S0020,PT-MT12
S0020,PT-MT13
S0020,PT-MT14
S0020,PT-MT15
S0020,PT-MT16
S0020,IMF-AC'4
S0020,IMF-AC'5
S0020,AIP-OF'1
S0020,AIP-OF'10
S0020,AIP-OF'11
S0020,PIF-AI'1
S0020,PIF-AI'2
S0020,PIF-AI'3
S0020,PIF-AI'4
S0020,PIF-AI'5
S0020,PIF-AI'6
S0020,PIF-AI'7
S0020,PIF-MI'2
S0020,PIF-MI'3
S0020,PIF-MI'4
S0020,PIF-MI'5
S0020,PIF-MI'6
S0020,PIF-MI'7
S0020,PIF-MI'8
S0021,PSF-PC'10
S0021,PIF-MI'3
S0021,ASP-PI'7
S0021,ASP-PI'8
S0021,PMF-MC12
S0021,PIF-MI8
S0021,AP-PI2
S0021,AP-PI3
S0021,AP-PI5
S0021,AP-PI6
S0021,AP-PI7
S0021,AP-PI8
S0021,AP-PI9
S0023,ASF-MOF1
S0023,ASF-MOF2
S0023,ASF-MOF3
S0023,ASF-MOF4
S0023,ASF-MOF6
S0023,ASF-MOF7
S0023,ASF-MOF8
S0023,ASF-MOF9
S0023,ASF-MOF16
S0023,AMF-LOF2
S0023,AMF-LOF3
S0023,AMF-LOF4
S0023,AMF-LOF5
S0023,AMF-LOF13
S0023,AMF-LOF14
S0023,AIF-OF5
S0023,AIF-OF9
S0023,AIF-OF10
S0023,AIF-OF11
S0023,AIF-OF12
S0023,AIF-OF14
S0023,AIF-AC1
S0023,AIF-AC2
S0023,AIF-AC3
S0023,AIF-AC9
S0023,AMF-AC2
S0023,AMF-AC3
S0023,AMF-AC4
S0023,AMF-AC10
S0023,MMF-AI2
S0023,MMF-AI12
S0023,PIF-PSI1
S0023,PIF-PSI2
S0023,PIF-PSI3
S0023,PIF-PSI4
S0023,PIF-PSI5
S0023,PIF-PSI6
S0023,PIF-PSI7
S0023,PMF-PC12
S0023,AMT-AMG6
S0023,AMT-AMG7
S0023,AMT-AMG8
S0023,AMT-AMG9
S0023,AMT-AMG10
S0023,AMT-AMG12
S0023,AMT-AMG13
S0023,AMT-AMG14
S0023,PST-HG6
S0023,PST-HG9
S0023,PST-HG10
S0023,PST-HG11
S0023,PST-HG12
S0023,PST-HG13
S0024,'AIF-OF12
S0024,'AMF-POF1
S0024,'AMF-POF2
S0024,'AMF-POF3
S0024,'AMF-POF4
S0024,'AMF-POF5
S0024,'AMF-POF6
S0024,'AMF-POF7
S0024,'AMF-POF8
S0024,'MIF-ASI2
S0024,'MIF-ASI7
S0024,'MIF-ASI8
S0024,'PIF-MAI1
S0024,'PIF-MAI2
S0024,'PIF-MAI3
S0024,'PIF-MAI4
S0024,'PIF-MAI5
S0024,'PIF-MAI6
S0024,'PIF-MAI7
S0024,'PIF-MAI8
S0024,'PIF-MAI9
S0024,'ASF-AC2
S0024,'ASF-AC3
S0024,'ASF-AC13
S0024,'PSF-MC1
S0024,'PSF-MC2
S0024,'PMF-MMI1
S0024,'PMF-MMI2
S0024,'PMF-MMI3
S0024,'PMF-MMI4
S0024,'PMF-MMI5
S0024,'PMF-MC2
S0024,'PMF-MC3
S0024,'PMF-MC4
S0024,'MST-AMG2
S0024,'MST-AMG3
S0024,'MST-AMG4
S0024,'MST-AMG5
S0024,'MST-AMG6
S0024,'MST-AMG7
S0024,'MST-AMG9
S0024,'MST-AMG10
S0026,'AIF-OF12
S0026,'AIF-AI1
S0026,'AIF-AI2
