4.03	4.53	0.0
16.09	16.59	0.0
26.11	26.61	0.0
38.79	39.29	0.0
55.56	56.06	0.0
72.51	73.01	0.0
88.76	89.26	0.0
98.38	98.88	0.0
110.59	111.09	0.0
121.04	121.54	0.0
135.29	135.79	0.0
145.11	145.61	0.0
157.98	158.48	0.0
170.41	170.91	0.0
180.53	181.03	0.0
200.27	200.77	0.0
211.85	212.35	0.0
223.4	223.9	0.0
237.3	237.8	0.0
247.92	248.42	0.0
258.38	258.88	2.0
259.38	259.88	0.0
278.79	279.29	0.0
287.6	288.1	0.0
303.5	304.0	0.0
314.32	314.82	0.0
328.51	329.01	0.0
340.14	340.64	0.0
352.71	353.21	0.0
363.27	363.77	0.0
374.71	375.21	0.0
389.19	389.69	0.0
402.16	402.66	0.0
413.83	414.33	0.0
424.81	425.31	0.0
433.91	434.41	0.0
447.28	447.78	0.0
459.55	460.05	0.0
470.73	471.23	0.0
485.32	485.82	0.0
496.5	497.0	0.0
