subj,ch_name,el_p,sh_p
TCH14,LCMN1,0.848,0.797
TCH14,LCMN2,0.708,0.676
TCH14,LCMN3,0.695,0.675
TCH14,LCMN4,0.671,0.662
TCH14,LCMN5,0.681,0.63
TCH14,LCMN6,0.654,0.627
TCH14,LCMN7,0.67,0.647
TCH14,LCMN8,0.689,0.669
TCH14,LCMN9,0.619,0.501
TCH14,LCMN10,0.305,0.423
TCH14,LCMN11,0.418,0.118
TCH14,LCMN12,0.309,0.169
TCH14,LCMN13,0.359,0.329
TCH14,LCMN14,0.643,0.664
TCH14,RANT1,0.846,0.721
TCH14,RANT2,0.733,0.49
TCH14,RANT3,0.721,0.333
TCH14,RANT4,0.719,0.583
TCH14,RANT5,0.544,0.574
TCH14,RANT6,0.5,0.52
TCH14,RANT7,0.471,0.369
TCH14,RANT8,0.407,0.184
TCH14,RANT9,0.29,0.036
TCH14,RANT10,0.695,0.785
TCH14,RANT11,0.408,0.198
TCH14,RANT12,0.33,0.167
TCH14,RANT13,0.748,0.826
TCH14,RANT14,0.708,0.625
TCH14,LAIMSG1,0.331,0.474
TCH14,LAIMSG2,0.654,0.765
TCH14,LAIMSG3,0.49,0.557
TCH14,LAIMSG4,0.528,0.538
TCH14,LAIMSG5,0.054,0.09
TCH14,LAIMSG6,0.388,0.536
TCH14,LAIMSG7,0.328,0.234
TCH14,LAIMSG8,0.244,0.264
TCH14,LAIMSG9,0.462,0.323
TCH14,LAIMSG10,0.333,0.515
TCH14,LAIMSG11,0.438,0.713
TCH14,LAIMSG12,0.396,0.612
TCH14,LAIMSG13,0.382,0.421
TCH14,LAIMSG14,0.546,0.472
TCH14,LANT1,0.683,0.803
TCH14,LANT2,0.601,0.644
TCH14,LANT3,0.377,0.609
TCH14,LANT4,0.544,0.501
TCH14,LANT5,0.305,0.225
TCH14,LANT6,0.439,0.47
TCH14,LANT7,0.392,0.243
TCH14,LANT8,0.366,0.387
TCH14,LANT9,0.413,0.218
TCH14,LANT10,0.282,0.222
TCH14,LANT11,0.735,0.735
TCH14,LANT12,0.362,0.168
TCH14,LANT13,0.63,0.522
TCH14,LANT14,0.905,0.883
TCH14,LANGT1,0.773,0.829
TCH14,LANGT2,0.789,0.817
TCH14,LANGT3,0.728,0.803
TCH14,LANGT4,0.697,0.778
TCH14,LANGT5,0.719,0.765
TCH14,LANGT6,0.707,0.669
TCH14,LANGT7,0.708,0.634
TCH14,LANGT8,0.564,0.535
TCH14,LANGT9,0.513,0.414
TCH14,LANGT10,0.415,0.348
TCH14,LANGT11,0.365,0.208
TCH14,LANGT12,0.579,0.664
TCH14,LANGT13,0.684,0.683
TCH14,LANGT14,0.689,0.715
TCH14,LUNC1,0.707,0.843
TCH14,LUNC2,0.736,0.814
TCH14,LUNC3,0.71,0.785
TCH14,LUNC4,0.673,0.801
TCH14,LUNC5,0.633,0.781
TCH14,LUNC6,0.497,0.645
TCH14,LUNC7,0.623,0.633
TCH14,LUNC8,0.514,0.587
TCH14,LUNC9,0.625,0.669
TCH14,LUNC10,0.593,0.617
TCH14,LML1,0.578,0.309
TCH14,LML2,0.579,0.551
TCH14,LML3,0.531,0.425
TCH14,LML4,0.828,0.82
TCH14,LML5,0.957,0.862
TCH14,LML6,0.853,0.622
TCH14,RSMA1,0.656,0.426
TCH14,RSMA2,0.631,0.605
TCH14,RSMA3,0.948,0.88
TCH14,RSMA4,0.947,0.981
TCH14,RSMA5,0.526,0.731
TCH14,RSMA6,0.32,0.341
TCH14,LSMA1,0.531,0.421
TCH14,LSMA2,0.911,0.854
TCH14,LSMA3,0.742,0.503
TCH14,LSMA4,0.574,0.41
TCH14,LSMA5,0.457,0.559
TCH14,LSMA6,0.771,0.593
TCH14,LPCUN1,0.455,0.564
TCH14,LPCUN2,0.479,0.242
TCH14,LPCUN3,0.623,0.369
TCH14,LPCUN4,0.362,0.824
TCH14,LPCUN5,0.181,0.422
TCH14,LPCUN6,0.823,0.831
TCH14,LSHP1,0.465,0.578
TCH14,LSHP2,0.306,0.498
TCH14,LSHP3,0.67,0.837
TCH14,LSHP4,0.651,0.795
TCH14,LSHP5,0.86,0.951
TCH14,LSHP6,0.881,0.929
TCH14,LSPL1,0.369,0.579
TCH14,LSPL2,0.65,0.809
TCH14,LSPL3,0.452,0.374
TCH14,LSPL4,0.483,0.471
TCH14,LSPL5,0.539,0.59
TCH14,LSPL6,0.915,0.972
TCH14,LFEF1,0.4,0.54
TCH14,LFEF2,0.565,0.746
TCH14,LFEF3,0.359,0.348
TCH14,LFEF4,0.201,0.036
TCH14,LFEF5,0.519,0.24
TCH14,LFEF6,0.752,0.606
TCH14,LAG1,0.092,0.269
TCH14,LAG2,0.183,0.521
TCH14,LAG3,0.775,0.636
TCH14,LAG4,0.694,0.618
TCH14,LAG5,0.966,0.823
TCH14,LAG6,0.994,0.985
TCH14,LSH1,0.507,0.224
TCH14,LSH2,0.83,0.741
TCH14,LSH3,0.927,0.934
TCH14,LSH4,0.553,0.502
TCH14,LSH5,0.791,0.854
TCH14,LSH6,0.821,0.793
TCH14,LSL1,0.713,0.146
TCH14,LSL2,0.149,0.269
TCH14,LSL3,0.516,0.592
TCH14,LSL4,0.296,0.152
TCH14,LSL5,0.455,0.437
TCH14,LSL6,0.763,0.402
TCH14,LPOT1,0.305,0.611
TCH14,LPOT2,0.524,0.644
TCH14,LPOT3,0.383,0.588
TCH14,LPOT4,0.325,0.632
TCH14,LPOT5,0.919,0.92
TCH14,LPOT6,0.956,0.947
TCH14,LIPS1,0.367,0.587
TCH14,LIPS2,0.571,0.797
TCH14,LIPS3,0.507,0.567
TCH14,LIPS4,0.809,0.707
TCH14,LIPS5,0.6,0.685
TCH14,LIPS6,0.998,0.988
TCH14,LSTG1,0.0,0.0
TCH14,LSTG2,0.032,0.036
TCH14,LSTG3,0.0,0.0
TCH14,LSTG4,0.0,0.0
TCH14,LSTG5,0.421,0.472
TCH14,LSTG6,0.599,0.659
TCH14,RSF1,0.447,0.375
TCH14,RSF2,0.556,0.716
TCH14,RSF3,0.402,0.381
TCH14,RSF4,0.624,0.551
TCH14,RSF5,0.795,0.607
TCH14,RSF6,0.812,0.594
TCH14,LSA1,0.99,0.988
TCH14,LSA2,0.986,0.993
TCH14,LSA3,0.876,0.802
TCH14,LSA4,0.903,0.832
TCH14,LMH1,0.898,0.928
TCH14,LMH2,0.953,0.976
TCH14,LMH3,0.778,0.902
TCH14,LMH4,0.838,0.856
TCH14,LIPL1,0.453,0.515
TCH14,LIPL2,0.56,0.337
TCH14,LIPL3,0.636,0.438
TCH14,LIPL4,0.871,0.789
TCH14,LSMG1,0.476,0.449
TCH14,LSMG2,0.315,0.064
TCH14,LSMG3,0.579,0.566
TCH14,LSMG4,0.297,0.41
TCH14,LMA1,0.882,0.762
TCH14,LMA2,0.991,0.986
TCH14,LMA3,0.998,0.998
TCH14,LMA4,0.903,0.852
TCH14,EKG1,0.576,0.626
