subj,ch_name,spkr_p,mic_p
TCH14,ROT7,0.312,0.132
TCH14,ROT8,0.194,0.167
TCH14,ROT9,0.176,0.11
TCH14,ROT10,0.211,0.067
TCH14,ROT11,0.202,0.059
TCH14,ROT12,0.29,0.12
TCH14,ROT13,0.4,0.077
TCH14,ROT14,0.489,0.118
TCH14,LOT1,0.672,0.099
TCH14,LOT2,0.669,0.141
TCH14,LOT3,0.674,0.193
TCH14,LOT4,0.711,0.297
TCH14,LOT5,0.722,0.32
TCH14,LOT6,0.542,0.468
TCH14,LOT7,0.237,0.377
TCH14,LOT8,0.333,0.555
TCH14,LOT9,0.589,0.243
TCH14,LOT10,0.897,0.271
TCH14,LOT11,0.263,0.279
TCH14,LOT12,0.52,0.156
TCH14,LOT13,0.359,0.188
TCH14,LOT14,0.482,0.23
TCH14,LPILG1,0.637,0.053
TCH14,LPILG2,0.198,0.301
TCH14,LPILG3,0.586,0.299
TCH14,LPILG4,0.136,0.06
TCH14,LPILG5,0.355,0.018
TCH14,LPILG6,0.52,0.143
TCH14,LPILG7,0.084,0.013
TCH14,LPILG8,0.25,0.0
TCH14,LPILG9,0.294,0.002
TCH14,LPILG10,0.704,0.1
TCH14,LPILG11,0.681,0.05
TCH14,LPILG12,0.951,0.922
TCH14,LPILG13,0.984,0.952
TCH14,LPILG14,0.837,0.707
TCH14,LPIALG1,0.442,0.06
TCH14,LPIALG2,0.447,0.182
TCH14,LPIALG3,0.304,0.293
TCH14,LPIALG4,0.359,0.158
TCH14,LPIALG5,0.664,0.561
TCH14,LPIALG6,0.515,0.0
TCH14,LPIALG7,0.047,0.001
TCH14,LPIALG8,0.361,0.0
TCH14,LPIALG9,0.261,0.0
TCH14,LPIALG10,0.906,0.0
TCH14,LPIALG11,0.979,0.869
TCH14,LPIALG12,0.974,0.878
TCH14,LPIALG13,0.966,0.754
TCH14,LPIALG14,0.999,0.983
TCH14,LAISG1,0.596,0.194
TCH14,LAISG2,0.226,0.21
TCH14,LAISG3,0.315,0.103
TCH14,LAISG4,0.281,0.098
TCH14,LAISG5,0.503,0.018
TCH14,LAISG6,0.664,0.059
TCH14,LAISG7,0.749,0.06
TCH14,LAISG8,0.782,0.153
TCH14,LAISG9,0.486,0.125
TCH14,LAISG10,0.422,0.094
TCH14,LAISG11,0.549,0.033
TCH14,LAISG12,0.758,0.163
TCH14,LAISG13,0.536,0.65
TCH14,LAISG14,0.628,0.184
TCH14,LCMN1,0.813,0.12
TCH14,LCMN2,0.679,0.051
TCH14,LCMN3,0.689,0.037
TCH14,LCMN4,0.702,0.045
TCH14,LCMN5,0.674,0.05
TCH14,LCMN6,0.639,0.044
TCH14,LCMN7,0.681,0.036
TCH14,LCMN8,0.707,0.026
TCH14,LCMN9,0.59,0.129
TCH14,LCMN10,0.341,0.116
TCH14,LCMN11,0.252,0.318
TCH14,LCMN12,0.25,0.377
TCH14,LCMN13,0.39,0.769
TCH14,LCMN14,0.645,0.54
TCH14,RANT1,0.78,0.024
TCH14,RANT2,0.667,0.039
TCH14,RANT3,0.543,0.071
TCH14,RANT4,0.658,0.015
TCH14,RANT5,0.524,0.022
TCH14,RANT6,0.505,0.034
TCH14,RANT7,0.434,0.235
TCH14,RANT8,0.316,0.08
TCH14,RANT9,0.132,0.111
TCH14,RANT10,0.711,0.167
TCH14,RANT11,0.31,0.131
TCH14,RANT12,0.246,0.038
TCH14,RANT13,0.741,0.246
TCH14,RANT14,0.696,0.239
TCH14,LAIMSG1,0.385,0.359
TCH14,LAIMSG2,0.686,0.238
TCH14,LAIMSG3,0.502,0.475
TCH14,LAIMSG4,0.513,0.071
TCH14,LAIMSG5,0.069,0.643
TCH14,LAIMSG6,0.468,0.058
TCH14,LAIMSG7,0.257,0.238
TCH14,LAIMSG8,0.252,0.34
TCH14,LAIMSG9,0.427,0.542
TCH14,LAIMSG10,0.43,0.533
TCH14,LAIMSG11,0.565,0.478
TCH14,LAIMSG12,0.471,0.567
TCH14,LAIMSG13,0.409,0.254
TCH14,LAIMSG14,0.539,0.064
TCH14,LANT1,0.735,0.014
TCH14,LANT2,0.607,0.018
TCH14,LANT3,0.499,0.011
TCH14,LANT4,0.536,0.213
TCH14,LANT5,0.288,0.003
TCH14,LANT6,0.459,0.024
TCH14,LANT7,0.302,0.324
TCH14,LANT8,0.405,0.476
TCH14,LANT9,0.316,0.356
TCH14,LANT10,0.242,0.182
TCH14,LANT11,0.72,0.155
TCH14,LANT12,0.273,0.434
TCH14,LANT13,0.585,0.013
TCH14,LANT14,0.875,0.024
TCH14,LANGT1,0.799,0.076
TCH14,LANGT2,0.792,0.065
TCH14,LANGT3,0.777,0.074
TCH14,LANGT4,0.734,0.052
TCH14,LANGT5,0.746,0.063
TCH14,LANGT6,0.702,0.066
TCH14,LANGT7,0.7,0.105
TCH14,LANGT8,0.556,0.425
TCH14,LANGT9,0.491,0.653
TCH14,LANGT10,0.383,0.55
TCH14,LANGT11,0.289,0.299
TCH14,LANGT12,0.609,0.109
TCH14,LANGT13,0.677,0.052
TCH14,LANGT14,0.694,0.055
TCH14,LUNC1,0.731,0.056
TCH14,LUNC2,0.752,0.039
TCH14,LUNC3,0.763,0.023
TCH14,LUNC4,0.742,0.018
TCH14,LUNC5,0.709,0.033
TCH14,LUNC6,0.582,0.047
TCH14,LUNC7,0.613,0.022
TCH14,LUNC8,0.548,0.022
TCH14,LUNC9,0.653,0.05
TCH14,LUNC10,0.608,0.059
TCH14,LML1,0.472,0.418
TCH14,LML2,0.578,0.373
TCH14,LML3,0.465,0.432
TCH14,LML4,0.858,0.506
TCH14,LML5,0.899,0.86
TCH14,LML6,0.749,0.433
TCH14,RSMA1,0.544,0.255
TCH14,RSMA2,0.642,0.205
TCH14,RSMA3,0.914,0.035
TCH14,RSMA4,0.975,0.023
TCH14,RSMA5,0.632,0.0
TCH14,RSMA6,0.313,0.006
TCH14,LSMA1,0.458,0.586
TCH14,LSMA2,0.898,0.441
TCH14,LSMA3,0.639,0.475
TCH14,LSMA4,0.483,0.499
TCH14,LSMA5,0.509,0.166
TCH14,LSMA6,0.679,0.214
TCH14,LPCUN1,0.498,0.658
TCH14,LPCUN2,0.348,0.491
TCH14,LPCUN3,0.512,0.299
TCH14,LPCUN4,0.6,0.324
TCH14,LPCUN5,0.35,0.226
TCH14,LPCUN6,0.849,0.082
TCH14,LSHP1,0.553,0.338
TCH14,LSHP2,0.385,0.241
TCH14,LSHP3,0.743,0.612
TCH14,LSHP4,0.691,0.441
TCH14,LSHP5,0.911,0.737
TCH14,LSHP6,0.875,0.637
TCH14,LSPL1,0.457,0.587
TCH14,LSPL2,0.727,0.124
TCH14,LSPL3,0.402,0.393
TCH14,LSPL4,0.448,0.703
TCH14,LSPL5,0.6,0.525
TCH14,LSPL6,0.952,0.196
TCH14,LFEF1,0.453,0.487
TCH14,LFEF2,0.664,0.072
TCH14,LFEF3,0.367,0.658
TCH14,LFEF4,0.113,0.534
TCH14,LFEF5,0.339,0.197
TCH14,LFEF6,0.672,0.249
TCH14,LAG1,0.218,0.847
TCH14,LAG2,0.317,0.829
TCH14,LAG3,0.736,0.61
TCH14,LAG4,0.665,0.571
TCH14,LAG5,0.914,0.332
TCH14,LAG6,0.991,0.045
TCH14,LSH1,0.361,0.12
TCH14,LSH2,0.781,0.46
TCH14,LSH3,0.937,0.673
TCH14,LSH4,0.527,0.248
TCH14,LSH5,0.804,0.319
TCH14,LSH6,0.809,0.377
TCH14,LSL1,0.405,0.223
TCH14,LSL2,0.208,0.1
TCH14,LSL3,0.573,0.29
TCH14,LSL4,0.21,0.194
TCH14,LSL5,0.461,0.372
TCH14,LSL6,0.592,0.449
TCH14,LPOT1,0.44,0.323
TCH14,LPOT2,0.556,0.205
TCH14,LPOT3,0.488,0.051
TCH14,LPOT4,0.469,0.349
TCH14,LPOT5,0.911,0.005
TCH14,LPOT6,0.936,0.006
TCH14,LIPS1,0.504,0.433
TCH14,LIPS2,0.713,0.463
TCH14,LIPS3,0.545,0.516
TCH14,LIPS4,0.777,0.318
TCH14,LIPS5,0.627,0.101
TCH14,LIPS6,0.996,0.012
TCH14,LSTG1,0.0,0.257
TCH14,LSTG2,0.037,0.861
TCH14,LSTG3,0.0,0.0
TCH14,LSTG4,0.0,0.0
TCH14,LSTG5,0.496,0.093
TCH14,LSTG6,0.608,0.128
TCH14,RSF1,0.391,0.035
TCH14,RSF2,0.676,0.339
TCH14,RSF3,0.39,0.048
TCH14,RSF4,0.59,0.091
TCH14,RSF5,0.713,0.412
TCH14,RSF6,0.698,0.406
TCH14,LSA1,0.985,0.964
TCH14,LSA2,0.986,0.925
TCH14,LSA3,0.837,0.598
TCH14,LSA4,0.866,0.472
TCH14,LMH1,0.929,0.729
TCH14,LMH2,0.962,0.875
TCH14,LMH3,0.848,0.558
TCH14,LMH4,0.841,0.654
TCH14,LIPL1,0.499,0.38
TCH14,LIPL2,0.449,0.479
TCH14,LIPL3,0.551,0.603
TCH14,LIPL4,0.827,0.197
TCH14,LSMG1,0.477,0.944
TCH14,LSMG2,0.155,0.988
TCH14,LSMG3,0.569,0.763
TCH14,LSMG4,0.35,0.258
TCH14,LMA1,0.812,0.029
TCH14,LMA2,0.995,0.869
TCH14,LMA3,1.0,0.97
TCH14,LMA4,0.89,0.633
TCH14,EKG1,0.567,0.022
