August 31, 2022 at 6:29:50 PM
ONSET PROD LOG FILE
S0000_B1
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
7	32	listen	shuffled	167176.353267833	Cut a small corner off each edge.	The cat's meow always hurts my ears.	0
8	33	readRepeat	shuffled	167192.850982041	They all enjoy ice cream sundaes.	I took her word for it.	0
8	33	listen	shuffled	167215.561306625	They all enjoy ice cream sundaes.	I took her word for it.	0
9	34	readRepeat	shuffled	167221.567512708	Tom reads the same book every night.	Cut a small corner off each edge.	0
9	34	listen	shuffled	167227.774952916	Tom reads the same book every night.	Cut a small corner off each edge.	0
10	35	readRepeat	shuffled	167234.572577583	He ate four eggs for breakfast.	The angry boy didn't look up.	0
10	35	listen	shuffled	167246.576636208	He ate four eggs for breakfast.	The angry boy didn't look up.	0
11	36	readRepeat	shuffled	167255.866788708	They often go out in the evening.	Is she going with you?	0
11	36	listen	shuffled	167267.0225595	They often go out in the evening.	Is she going with you?	0
12	37	readRepeat	shuffled	167279.452515208	Spring Street is straight ahead.	Jane helped her sister with homework.	0
12	37	listen	shuffled	167288.700803541	Spring Street is straight ahead.	Jane helped her sister with homework.	0
13	38	readRepeat	shuffled	167296.564333833	Is this seesaw safe?	How do you know my name?	0
13	38	listen	shuffled	167303.5791735	Is this seesaw safe?	How do you know my name?	0
14	39	readRepeat	shuffled	167310.736030833	This was easy for us.	I saw a purple crab on the beach.	0
14	39	listen	shuffled	167317.858866166	This was easy for us.	I saw a purple crab on the beach.	0
15	40	readRepeat	shuffled	167320.808636958	I saw a purple crab on the beach.	He ate four eggs for breakfast.	0
15	40	listen	shuffled	167325.673248041	I saw a purple crab on the beach.	He ate four eggs for breakfast.	0
16	41	readRepeat	shuffled	167331.655508666	Don't do Charlie's dirty dishes.	Michael colored the bedroom wall with crayons.	0
16	41	listen	shuffled	167336.737498166	Don't do Charlie's dirty dishes.	Michael colored the bedroom wall with crayons.	0
17	42	readRepeat	shuffled	167344.368847375	Should giraffes be kept in small zoos?	We are open every Monday evening.	0
17	42	listen	shuffled	167359.289112083	Should giraffes be kept in small zoos?	We are open every Monday evening.	0
18	43	readRepeat	shuffled	167369.195848166	Even I get the Monday blues!	Bob looked for shells by the ocean.	0
18	43	listen	shuffled	167384.190879041	Even I get the Monday blues!	Bob looked for shells by the ocean.	0
19	44	readRepeat	shuffled	167404.826744083	They own a big house in Austin, Texas.	How do oysters make pearls?	0
19	44	listen	shuffled	167412.859598833	They own a big house in Austin, Texas.	How do oysters make pearls?	0
20	45	readRepeat	shuffled	167419.441356083	Blue cheese smells funny.	How much allowance do you get?	0
20	45	listen	shuffled	167423.98166875	Blue cheese smells funny.	How much allowance do you get?	0
21	46	readRepeat	shuffled	167431.622084083	The big dog loved to chew on the old rag doll.	Even I get the Monday blues!	0
21	46	listen	shuffled	167437.636566041	The big dog loved to chew on the old rag doll.	Even I get the Monday blues!	0
22	47	readRepeat	shuffled	167446.317807541	Guess the question from the answer.	Swing your arm as high as you can.	0
22	47	listen	shuffled	167451.841059208	Guess the question from the answer.	Swing your arm as high as you can.	0
23	48	readRepeat	shuffled	167460.039345625	Swing your arm as high as you can.	The roses smelled very sweet.	0
23	48	listen	shuffled	167475.158197541	Swing your arm as high as you can.	The roses smelled very sweet.	0
24	49	readRepeat	shuffled	167480.417143541	Please sing just the club theme.	Robin likes the color yellow.	0
24	49	listen	shuffled	167485.823395791	Please sing just the club theme.	Robin likes the color yellow.	0
25	50	readRepeat	shuffled	167493.246173041	The angry boy didn't look up.	Carl lives in a very small home.	0
25	50	listen	shuffled	167501.503299375	The angry boy didn't look up.	Carl lives in a very small home.	0

